Kanji,Kana,POS,Meaning,Example
全体,ぜんたい,"n-adv,n",whole; entirety,"会社全体が参加したイベント
the event in which the whole company participated"
全員,ぜんいん,"n-adv,n",all members; everyone,"
"
共通,きょうつう,"adj-no,adj-na,n,vs",common; shared,"この寮のキチンは共通のエリアです。
This dorm's kitchen is a shared area."
内容,ないよう,n,contents; substance; details,"
"
冗談,じょうだん,"n,adj-no",joke,"冗談を言う
to tell a joke"
分,ぶん,"n,suf,pref",part; segment; share,"家事について自分の分がもうできました。
As for housework, I already finished my part."
～分の～,～ぶんの～,n,expresses a fraction/portion where the first ～ is the denominator,"4分の1
1/4"
分野,ぶんや,n,field; area; realm,"専門分野
area of specialty"
刑事,けいじ,n,(police) detective,"
"
到着,とうちゃく,"n,vs,adj-no",arrival,"電車が駅に到着しました。
The train arrived at the station."
努力,どりょく,"n,vs",effort; exertion; hard work,"
"
効果,こうか,"n,adj-no",effect; efficacy,"薬の効果
efficacy/effects of medicine"
協力,きょうりょく,"n,vs,adj-no",cooperation; collaboration,"
"
単語,たんご,"n,adj-no",word; vocabulary,"
"
占める,しめる,vt,to occupy; to hold; to comprise; to make up,"
"
印象,いんしょう,"n,vs",impression,"印象を与える
to make an impression"
友人,ゆうじん,n,friend,"
"
双子,ふたご,n,twins,"
"
収穫,しゅうかく,"n,vs",harvest; crop,"
"
叫ぶ,さけぶ,vi,to shout; to cry; to yell; to clamour,"
"
同僚,どうりょう,n,coworker; colleague,"
"
味方,みかた,"n,adj-no",friend; ally; supporter,"
"
品,しな,n,article; item; good,"
"
ただ,ただ,"adj-no,n | adv | conj",ordinary; common; usual | only; merely | but; however,"
"
商品,しょうひん,n,good; merchandise,"
"
国民,こくみん,n,people (of a country); citizen,"
"
地域,ちいき,n,area; region,"
"
地方,ちほう,"n,adj-no",district; region | countryside; rural area,"
"
報告,ほうこく,"n,vs",report; information,"毎週に進歩を報告します。
I report my progress every week."
変更,へんこう,"n,vs",change; alteration,"
"
夜中,よなか,"n-adv,n",middle of the night,"
"
夢中,むちゅう,"adj-na,n,adj-no",daze; engrossment; obsessed with; hooked on,"ジャズに夢中です。
I am obsessed with Jazz."
大統領,だいとうりょう,n,president (of a country),"
"
太陽,たいよう,n,sun,"
"
失う,うしなう,vt,to lose,"意識を失う
to lose conciousness"
契約,けいやく,"n,vs",contract,"
"
奥,おく,n,inside; interior; depths; back,"クロゼットの奥に布団がありました。
The futon was at the back of the closet."
好み,このみ,n,liking; taste,"
"
委員,いいん,n,committee member,"
"
嫌う,きらう,vt,to hate; to dislike,"
"
孫,まご,n,grandchild,"
"
守る,まもる,vt,to protect; to guard; to uphold; to follow,"人を守る
to protect a person"
完成,かんせい,"n,vs",completion; accomplishment,"レポートを完成しました。
I finished the report."
実際,じっさい,"adj-no,adv,n",practicality; reality; actual,"実際の経験
actual experience"
家事,かじ,n,housework; chores,"
"
家賃,やちん,n,rent,"
"
宿泊,しゅくはく,"n,vs",lodging,"
"
就職,しゅうしょく,"n,vs",finding employment,"就職活動
job hunting"
希望,きぼう,"n,vs",request; hope; aspiration,"
"
常識,じょうしき,n,common sense,"
"
幅,はば,n,width; range; gap; difference,"幅が広い
have a large range"
平和,へいわ,"adj-na,n",peace; harmony,"
"
平均,へいきん,"n,vs",average; mean; balance; equilibrium,"平均年齢
average age"
年月,としつき、ねんげつ,n,months and years,"
"
年齢,ねんれい,n,age; years,"
"
広がる,ひろがる,vi,to spread (out); to extend,"
"
建設,けんせつ,"n,vs",construction; establishment,"建物の建設が始まった。
Construction of the building started."
影響,えいきょう,"n,vs",influence; effect,"私に影響がない。
There is no effect on me."
役,やく,n,use; service; role,"お客様を案内する役
the role of guiding (giving directions to) customers"
得る,える,vt,to get; to obtain; to win,"許可を得る
to obtain permission"
得意,とくい,"n,adj-no,adj-na",one's strong point; one's forte,"
"
徹夜,てつや,"n,vs,adj-no",all night; sleepless night,"
"
快適,かいてき,"adj-na,n",pleasant; comfortable,"24°Cは快適な温度です。
24C is a comfortable temperature."
急に,きゅうに,adv,quickly; suddenly,"
"
性格,せいかく,n,character; personality,"
"
悩む,なやむ,vi,to be worried; to be uncertain,"どこに行くか悩んでいる。
I am uncertain about where to go."
悪口,わるくち、あっこう,"n,vs",insult; bad mouth,"
"
情報,じょうほう,n,information; news; data,"新しい情報があれば教えてください。
If there is any new news, please let me know."
想像,そうぞう,"n,vs,adj-no",imagination; guess,"
"
愛情,あいじょう,"n,adj-no",love; affection,"
"
感謝,かんしゃ,"n,vs",thanks; gratitude,"
"
態度,たいど,"n,adj-no",attitude,"
"
成功,せいこう,"n,vs",success,"
"
成績,せいせき,n,results; grades,"
"
戻す,もどす,vt,to return; to restore,"
"
手伝い,てつだい,n,help,"
"
手術,しゅじゅつ,"n,vs,adj-no",surgery,"
"
投票,とうひょう,"n,vs,adj-no",voting,"
"
抜ける,ぬける,vi,to come out; to fall out; to be omitted,"髪の毛が抜けた
"
抱く,いだく、だく,vt,to embrace; to hug,"
"
指導,しどう,"n,vs",guidance; instruction,"
"
描く,えがく,vt,to draw; to paint; to sketch,"
"
援助,えんじょ,"n,vs",aid; support,"
"
操作,そうさ,"n,vs",operation; management,"
"
支払う,しはらう,vt,to pay,"
"
攻撃,こうげき,"n,vs",attack; strike; offensive,"
"
故郷,こきょう、ふるさと,n,home town; birthplace,"
"
教師,きょうし,"n,adj-no",teacher (in school/classroom),"
"
数（かず）,かず,n,number; amount,"
"
数（すう）,すう,"pref | n,n-suf",several; a few | quantity; amount,"鞄に本は数冊入っています。
A few books are in the bag."
数える,かぞえる,vt,to count,"数えられないほど人がいた。
There were more people than I could count."
文句,もんく,n,complaint,"
"
断る,ことわる,vt,to decline; to refuse,"
"
新鮮,しんせん,adj-na,fresh,"
"
方々,かたがた,n,(hon) they; you (plural people),"
"
方法,ほうほう,n,method; way; process,"日本語を覚えやすくする方法は知っていますか？
Do you know a way to make Japanese easy to memorize?"
時期,じき,n,time; season,"
"
最高,さいこう,"adj-no,adj-na,n",most; highest; best; finest,"
"
期待,きたい,"n,vs",expectation; anticipation,"
"
条件,じょうけん,n,condition; requirement; prerequisite,"
"
栄養,えいよう,"n,adj-no",nutrition,"栄養士
nutritionist"
根,ね,n,"root (of a plant, tooth, hair, etc.)","
"
検査,けんさ,"n,vs",inspection; examination,"
"
極,きょく,n,extreme; zenith; pole,"
"
様子,ようす,n,state; situation; appearance,"
"
機嫌,きげん,n | adj-na,mood; spirits | be in a good mood,"機嫌が良い
to be in a good mood"
機能,きのう,"n,vs",function; feature,"
"
欠席,けっせき,"n,vs",absence; non-attendance,"お客様を訪問するので、会議は欠席させてください。
Please let me be absent from the meeting because I will see a customer."
歌手,かしゅ,n,singer,"
"
正直,しょうじき,"n,adj-na,adv",honesty; frankness,"
"
正確,せいかく,"adj-na,n",accurate; correct; exact,"
"
残り,のこり,"n,adj-no",remaining; left-over,"
"
気に入る,きにいる,exp,to be pleased with,"
"
気候,きこう,n,climate,"
"
決心,けっしん,"n,vs",decision; resolution,"
"
泥,どろ,"n,adj-no",mud; slush,"
"
注ぐ,そそぐ,"vt,vi",to pour (into a container); to water (e.g. plants) | to flow into (e.g. a river),"
"
注文,ちゅうもん,"n,vs,adj-no",order; request,"
"
流行,りゅうこう,"n,vs,adj-no",fashion; fad,"
"
涙,なみだ,n,tears,"
"
深刻,しんこく,"adj-na,n",serious; grave,"
"
減る,へる,vi,to decrease (in size or number); to diminish,"
"
温暖,おんだん,"adj-na,n",warm; mild; temperate,"
"
満足,まんぞく,"adj-na,n,vs",satisfaction; contentment; sufficient,"
"
演奏,えんそう,"n,vs",(musical) performance,"
"
演技,えんぎ,"n,vs,adj-no",acting; performance,"
"
激しい,はげしい,adj-i,intense; fierce; vehement,"
"
無料,むりょう,"n,adj-no",free; no charge,"
"
無視,むし,"n,vs",disregarding; ignoring,"
"
無駄,むだ,"adj-na,n",uselessness; pointlessness,"
"
燃える,もえる,vi,to burn,"
"
物理,ぶつり,"n,adj-no",physics,"
"
犯人,はんにん,n,criminal,"
"
状態,じょうたい,n,current status; condition,"
"
独身,どくしん,"n,adj-no",single; unmarried,"
"
猿,さる,n,monkey,"
"
現在,げんざい,"n-adv,n",current; present time,"
"
現場,げんば,n,actual spot; actual site; shop/factory floor,"
"
現実,げんじつ,n,reality; actuality,"
"
球,きゅう,"n,ctr",sphere; (baseball) counter for balls,"
"
理想,りそう,"n,adj-no",ideal,"
"
理解,りかい,"n,vs",understanding; comprehension,"
"
生物,せいぶつ,n,living thing; creature; life,"
"
画家,がか,"n,adj-no",painter,"
"
異常,いじょう,"n,adj-na",abnormality; strangeness,"
"
発車,はっしゃ,"n,vs",departure; leaving,"
"
登山,とざん,"n,vs",mountain climbing,"
"
盛り,さかり,"n,n-suf",height (e.g. of summer); prime (of one's life),"
"
目的,もくてき,n,goal; objective,"
"
真似,まね,"n,vs",imitating; copying,"
"
真剣,しんけん,adj-na,serious; earnest,"
"
確かめる,たしかめる,vt,to check; to confirm,"
"
確認,かくにん,"n,vs",confirmation; verification,"
"
禁煙,きんえん,"exp,n,vs,adj-no","""No Smoking""; quitting smoking","
"
科目,かもく,n,(school) subject; curriculum,"
"
秘密,ひみつ,"n,adj-na,adj-no",secret,"
"
突然,とつぜん,"adj-no,adj-na,adv",abrupt; sudden; unexpected,"
"
管理,かんり,"n,vs",control; management (e.g. of a business),"
"
綿,めん,n,cotton,"
"
緊張,きんちょう,"n,vs",nervousness; stress,"
"
縁,ふち,n,edge; rim,"
"
肌,はだ,"n
n,n-suf",skin,"
"
胃,い,n,stomach,"
"
腰,こし,n,lower back,"
"
自然,しぜん,"adj-na,n",natural; nature,"
"
舞台,ぶたい,n,stage (theatre),"
"
被害,ひがい,n,damage; injury,"
"
裁判,さいばん,"n,vs,adj-no",trial; judgement,"
"
製品,せいひん,n,manufactured goods; product,"
"
要求,ようきゅう,"n,vs",demand; request; requirement,"
"
親友,しんゆう,n,close friend,"
"
観客,かんきゃく,n,spectator,"
"
解く,とく,vt,to solve; to unravel; to untie,"
"
解ける,とける,"v1,vi",to be solved; to be untied,"
"
設備,せつび,"n,vs",equipment; facilities,"
"
許す,ゆるす,vt,to permit; to allow; to forgive,"
"
証明,しょうめい,"n,vs,adj-no",proof; verification; certification,"
"
評判,ひょうばん,"n,adj-no",reputation; popularity,"
"
試す,ためす,vt,to test; to try out,"
"
語る,かたる,vt,to talk about; to speak of,"
"
誤解,ごかい,"n,vs",misunderstanding,"
"
読書,どくしょ,"n,vs",reading (as a hobby),"
"
調査,ちょうさ,"n,vs",survey,"
"
論文,ろんぶん,n,thesis; essay,"
"
豪華,ごうか,"adj-na,n",wonderful; extravagant; splendid,"
"
贈る,おくる,vt,to give (as a gift); to present,"
"
～軒,～けん,ctr,counter for houses,"
"
軒,のき,n,eaves,"
"
転ぶ,ころぶ,vi,to fall down; to fall over,"
"
農家,のうか,n,farmer,"
"
迷子,まいご,n,lost child,"
"
連続,れんぞく,"n,vs",occurring in succession; continuing,"
"
進める,すすめる,vt,to advance; to progress,"
"
進歩,しんぽ,"n,vs",progress; improvement,"
"
違い,ちがい,n,difference,"
"
選手,せんしゅ,n,player; team member,"
"
都会,とかい,"n,adj-no",city,"
"
鉄,てつ,n,iron (Fe),"
"
鍋,なべ,n,pot,"
"
開始,かいし,"n,vs",start; commencement,"
"
間違い,まちがい,n,mistake; error,"
"
頂上,ちょうじょう,"n,adj-no",top; summit; peak,"
"
順調,じゅんちょう,"adj-na,n",favourable; OK; all right,"
"
頬,ほほ,n,cheek (of face),"
"
頭痛,ずつう,n,headache,"
"
頼る,たよる,vi,to rely on; to count on,"
"
額,ひたい,n,forehead; brow,"
"
風景,ふうけい,"n,adj-no",scenery,"
"
飼う,かう,vt,to have (a pet or other animal),"
"
馬,うま,n,horse,"
"
騒音,そうおん,n,noise,"
"
骨,ほね,n,bone,"
"
きちんと,きちんと,"adv,vs",properly; accurately,"
"
きつい,きつい,adj-i,intense; severe; hard,"
"
ぐっすり,ぐっすり,"adv,adv-to",fast asleep,"
"
さっぱり,さっぱり,"adv,adv-to,vs",feeling refreshed | completely; entirely,"
"
ざっと,ざっと,adv,roughly; approximately,"
"
そっくり,そっくり,adv | adj-na,all; altogether | exactly like; just like,"
"
たっぷり,たっぷり,"adv,adv-to,n,adj-no,adj-na",full; ample,"
"
にっこり,にっこり,"adv,n,vs,adv-to",smile; grin,"
"
ぴったり,ぴったり,"adv,adv-to,vs",tightly; closely; exactly; precisely,"
"
ぼんやり,ぼんやり,"adv,adv-to,vs",absentmindedly; vacantly,"
"
エネルギー,エネルギー,n,energy; power,"
"
キロ,キロ,n,kilometer; kilogram,"
"
グループ,グループ,n,group,"
"
スター,スター,n,star (celestial); celebrity; idol,"
"
セット,セット,"n,vs",set; set meal,"
"
ソファー,ソファー,n,sofa,"
"
チャンス,チャンス,n,chance,"
"
チーズ,チーズ,"n
int",cheese,"
"
デート,デート,"n,adj-no,vs",date,"
"
トップ,トップ,n,top,"
"
ドラマ,ドラマ,n,(TV) drama,"
"
ドレス,ドレス,n,dress,"
"
プラン,プラン,n,plan,"
"
ミス,ミス,"n,vs",mistake,"
"
メモ,メモ,"n,vs",memo,"
"
一体,いったい,adv,"...the heck (e.g. ""what the heck?""); generally","
"
一家,いっか,n,a family; a household,"
"
一層,いっそう,"adv,adj-no",much more; all the more,"
"
一度に,いちどに,adv,all at once,"
"
一方,いっぽう,n,one side (of two); one way,"
"
一時的,いちじてき,adj-na,temporary,"
"
一時,いちじ,n,one time; a moment,"
"
一生,いっしょう,"n-adv,n,adj-no",whole life; a lifetime,"
"
一瞬,いっしゅん,"n,n-adv,n",instant; moment,"
"
一種,いっしゅ,"adv,n",species; kind,"
"
一致,いっち,"n,vs",coincidence; agreement,"
"
一般的,いっぱんてき,adj-na,common; general; for the masses,"
"
一般,いっぱん,"adj-no,adj-na,n",general; ordinary; common,"
"
万一,まんいち,n | adv,emergency; unlikely event | by some chance,"
"
万が一,まんがいち,adv,in the unlikely event; in the worst case,"
"
上京,じょうきょう,"n,vs",going to the capital (Tokyo),"
"
上等,じょうとう,"adj-no,adj-na,n",superior; first-class,"
"
上達,じょうたつ,"n,vs","improvement (e.g. in skill, ability); advance","
"
下す（おろす）,おろす,vt,to lower,"
"
下り,くだり,n,train going away from Tokyo,"
"
不利,ふり,"n,adj-na",disadvantage; handicap,"
"
不可,ふか,"adj-no,adj-na,n,n-suf",not possible,"
"
不安,ふあん,"adj-na,n",anxiety; insecurity,"
"
不平,ふへい,"n,adj-no,adj-na",discontent; dissatisfaction,"
"
不幸,ふこう,"n,adj-na",misfortune,"
"
不思議,ふしぎ,"adj-na,n",wonder; miracle; strange,"
"
不正,ふせい,"adj-na,n",injustice; unfairness,"
"
不自由,ふじゆう,"adj-na,n","disability; impairment (physical, mental, etc.)","
"
与える,あたえる,vt,to give; to bestow,"
"
世紀,せいき,n,century; era,"
"
世間,せけん,n,society; people,"
"
丘,おか,n,hill,"
"
両替,りょうがえ,"n,vs",money exchange,"
"
中古,ちゅうこ,"n,adj-no",used; second-hand,"
"
中央,ちゅうおう,"n,adj-no",centre; middle; capitol,"
"
中学,ちゅうがく,n,middle school,"
"
中心,ちゅうしん,"n,adj-no",center; middle; core,"
"
中止,ちゅうし,"n,vs",suspension; interruption,"
"
丸,まる,n,circle,"
"
主に,おもに,adv,mainly,"
"
主婦,しゅふ,n,housewife,"
"
主張,しゅちょう,"n,vs",claim; assertion,"
"
主義,しゅぎ,n,doctrine; rule,"
"
主要,しゅよう,"adj-na,n",main; principal,"
"
乗せる,のせる,vt,to place on (something),"
"
乗客,じょうきゃく,n,passenger,"
"
予報,よほう,"n,vs",forecast; prediction,"
"
予期,よき,"n,vs",expectation; assumption,"
"
予測,よそく,"n,vs",estimation,"
"
予防,よぼう,"n,vs,adj-no",prevention,"
"
事務,じむ,n,office work,"
"
事実,じじつ,"n-adv,n",fact; reality,"
"
事情,じじょう,n,circumstances,"
"
事態,じたい,n,situation,"
"
お互い,おたがい,n,mutual; reciprocal,"
"
交換,こうかん,"n,vs",exchange; substitution,"
"
交際,こうさい,"n,vs",company; friendship,"
"
人工,じんこう,"n,adj-no",artificial; man-made,"
"
人気,にんき,"n,adj-no,adj-na",popularity,"
"
人物,じんぶつ,n,person,"
"
人種,じんしゅ,n,race (of people),"
"
今に,いまに,adv,before long; even now,"
"
今にも,いまにも,adv,at any time,"
"
今回,こんかい,"n-adv,n",this time,"
"
今後,こんご,"n-adv,n",from now on,"
"
他人,たにん,n,another person; others,"
"
代理,だいり,"n,vs,adj-no",proxy; agent,"
"
代表,だいひょう,"n,vs,adj-no",representative,"
"
代金,だいきん,n,cost; charge; bill; fee,"
"
以来,いらい,"n-adv,n",henceforth,"
"
仲間,なかま,n,associate; comrade,"
"
任せる,まかせる,vt,to entrust (e.g. a task) to another; to leave to,"
"
企業,きぎょう,n,corporation; business,"
"
会合,かいごう,"n,vs",assembly; gathering,"
"
会計,かいけい,"n,adj-no",accounting; finance,"
"
伸ばす,のばす,vt,"to grow (e.g. hair, nails); to stretch; to reach out","
"
伺う,うかがう,vt | vi,(hum) to ask; to inquire | (hum) to visit,"
"
位,くらい,"adv,suf",about,"
"
位置,いち,"n,vs",place; position,"
"
住宅,じゅうたく,n,residence; housing,"
"
体温,たいおん,n,body temperature,"
"
体育,たいいく,n,physical education,"
"
余分,よぶん,"adj-na,n",extra; excess,"
"
余裕,よゆう,n,surplus; leeway; flexibility,"
"
作家,さっか,n,author,"
"
作曲,さっきょく,"n,vs",composition (of music),"
"
作法,さほう,n,manners; etiquette,"
"
作物,さくもつ,n,crops,"
"
使用,しよう,"n,vs",use,"
"
例,れい,"n,n-pref,adj-no",example,"
"
供給,きょうきゅう,"n,vs",supply; provision,"
"
依頼,いらい,"n,vs",request; commission,"
"
価値,かち,n,value; worth,"
"
価格,かかく,n,price; value,"
"
便,びん,"n,n-suf",flight (e.g. airline flight),"
"
便り,たより,"n,n-suf,vs",news; tidings; letter,"
"
係,かかり,n,person in charge; clerk,"
"
保証,ほしょう,"n,vs",guarantee; warranty,"
"
信じる,しんじる,vt,to believe; to place trust in,"
"
信仰,しんこう,"n,vs",(religious) faith; belief,"
"
信号,しんごう,n,traffic signal,"
"
信用,しんよう,"n,vs",confidence; trust,"
"
修正,しゅうせい,"n,vs",amendment; correction; revision,"
"
修理,しゅうり,"n,vs",repair,"
"
個人,こじん,"n,adj-no",individual; personal,"
"
倒す,たおす,vt,to knock down; to ruin,"
"
候補,こうほ,n,candidate; contender,"
"
借金,しゃっきん,"n,vs",debt; loan,"
"
偉大,いだい,"adj-na,n",greatness,"
"
健康,けんこう,"adj-na,n",health,"
"
たまたま,たまたま,adv,casually; unexpectedly,"
"
偶然,ぐうぜん,"n,adj-na,adj-no",coincidence,"
"
備える,そなえる,vt,to furnish with; to equip with,"
"
傷,きず,n,wound; injury,"
"
傾向,けいこう,"n,vs",tendency; inclination,"
"
わずか,わずか,"adj-na,adv,n",only; merely; small quantity,"
"
働き,はたらき,n,work; labor,"
"
優れる,すぐれる,"v1,vi",to surpass; to excel,"
"
元,もと,n,origin; source; foundation,"
"
光景,こうけい,n,scene; view,"
"
克服,こくふく,"n,vs","overcoming (of a difficulty, illness, handicap, etc.); victory over","
"
免許,めんきょ,"n,vs",license,"
"
うさぎ,うさぎ,n,rabbit,"
"
党,とう,"n,n-suf",party (political); faction,"
"
入力,にゅうりょく,"n,vs",input; (data) entry,"
"
入場,にゅうじょう,"n,vs",entrance; admission,"
"
全国,ぜんこく,"n,adj-no",nationwide,"
"
公平,こうへい,"n,adj-na",fairness; impartiality,"
"
共同,きょうどう,"n,vs,adj-no",co-operation; collaboration,"
"
具体的,ぐたいてき,adj-na,concrete,"
"
具体,ぐたい,n,concrete; tangible,"
"
典型,てんけい,"n,adj-no",model; archetypal; representative,"
"
冒険,ぼうけん,"n,vs",risk; venture,"
"
冷静,れいせい,"n,adj-na",calmness; composure,"
"
凍る,こおる,vi,to freeze,"
"
処理,しょり,"n,vs",processing; disposal,"
"
出会い,であい,n,meeting; encounter,"
"
出会う,であう,vi,to come across; to meet; to encounter,"
"
出来事,できごと,n,incident; happening,"
"
出版,しゅっぱん,"n,vs",publication,"
"
出身,しゅっしん,"n,adj-no","person's origin (e.g. city, country, parentage, school)","出身はどこですか？
Where are you from?"
刀,かたな,n,sword; katana,"
"
分ける,わける,vt,to divide; to split,"
"
分析,ぶんせき,"n,vs",analysis,"
"
切れ,きれ,n,piece; slice,"
"
切れる,きれる,vi,to be cut; to split,"
"
刈る,かる,vt,to cut; to mow; to prune,"
"
列,れつ,n,row; line; column,"
"
列車,れっしゃ,n,train,"
"
判断,はんだん,"n,vs",judgement; decision,"
"
別れ,わかれ,n,parting; separation,"
"
利口,りこう,"adj-na,n","clever; shrewd; well-behaved (of kids, animals, etc)","
"
利益,りえき,"n,vs",profit; gains,"
"
制度,せいど,"n,adj-no",system; institution,"
"
制限,せいげん,"n,vs",restriction; limit,"
"
券,けん,"n,n-suf",ticket; coupon,"
"
刺激,しげき,"n,vs",stimulus,"
"
前者,ぜんしゃ,n,the former,"
"
前進,ぜんしん,"n,vs",advance; progress,"
"
割る,わる,vt,to divide; to split; to break,"
"
劇場,げきじょう,"n,adj-no",theatre; playhouse,"
"
加える,くわえる,vt,to add; to include,"
"
加わる,くわわる,vi,to be added to,"
"
加減,かげん,"n,vs",adjustment; add and subtract,"
"
劣る,おとる,vi,to be inferior to,"
"
助ける,たすける,vt,to save; to rescue; to aid,"
"
助手,じょしゅ,n,assistant; helper,"
"
労働,ろうどう,"n,vs,adj-no",labor; work,"
"
効く,きく,vi,to be effective,"
"
勇気,ゆうき,n,courage; bravery,"
"
動かす,うごかす,vt,to move; to shift,"
"
動詞,どうし,"n,adj-no",verb,"
"
勘,かん,n,intuition,"
"
勘定,かんじょう,"n,vs",calculation; computation; consideration,"
"
勝ち,かち,n,victory,"
"
勝手,かって,"n,adj-na",one's own convenience,"
"
勝手に,かってに,adv,"selfishly, of one's own convenience","
"
勢い,いきおい,n,force; vigor; spirit,"
"
勤め,つとめ,n,service; business; responsibility,"
"
勧める,すすめる,vt,to recommend,"
"
包み,つつみ,n,bundle; package,"
"
化学,かがく,"n,adj-no",chemistry,"
"
化粧,けしょう,"n,vs",makeup; cosmetics,"
"
区別,くべつ,"n,vs",distinction; classification,"
"
医師,いし,"n,adj-no",doctor,"
"
医療,いりょう,"n,adj-no",medical treatment,"
"
半ば,なかば,"n-adv,n,n-suf",middle; halfway; partly,"
"
単なる,たんなる,adj-pn,mere; simple,"
"
単に,たんに,adv,simply; merely,"
"
単位,たんい,n,unit; denomination,"
"
単純,たんじゅん,"adj-na,n",simple; plain,"
"
博士,はかせ、はかし,n,doctorate; PhD,"
"
博物館,はくぶつかん,n,museum,"
"
印,しるし,n,mark; sign,"
"
印刷,いんさつ,"n,vs",printing,"
"
厄介,やっかい,"adj-na,n",trouble; burden; nuisance;,"
"
原,はら,n,field; plain,"
"
去る,さる,vi,to leave; to go away,"
"
参加,さんか,"n,vs",participation,"
"
参考,さんこう,"n,adj-no",reference,"
"
及ぼす,およぼす,vt,to exert; to cause,"
"
友情,ゆうじょう,n,friendship; camaraderie,"
"
反抗,はんこう,"n,vs",opposition; resistance,"
"
収める,おさめる,vt,to make an offering; to finish; to achieve (e.g. a result),"
"
収入,しゅうにゅう,n,income; revenue,"
"
取れる,とれる,vi,to come off; to be removed,"
"
受け取る,うけとる,vt,to accept; to receive,"
"
句,く,n,section (i.e. of text); paragraph,"
"
叩く,たたく,vt,to strike; to clap; to beat; to tap,"ドラムを叩く
to play the drums"
可能,かのう,"adj-na,n",possible; feasible,"
"
合わせる,あわせる,vt,"to match (rhythm, speed, etc.); to combine","
"
合図,あいず,"n,vs",signal; cue,"
"
合格,ごうかく,"n,vs",success; passing (e.g. exam),"
"
合計,ごうけい,"n,vs",total amount,"
"
同一,どういつ,"adj-no,adj-na",identical; equal,"
"
同時,どうじ,"n,adj-no",simultaneous; concurrent,"
"
同様,どうよう,"adj-no,adj-na,n",identical; equal to,"
"
名,な,n,name (first); given name,"
"
名人,めいじん,n,expert,"
"
吐く,はく,vt,to breathe out; to vomit,"
"
向かい,むかい,"n,adj-no",facing; across the street,"
"
向く,むく,vi,to turn toward; to face; to be suited to,"カメラに向いて。
Face toward the camera."
向ける,むける,vt,to turn towards,"席をカメラに向けて。
Face the seat towards the camera."
吠える,ほえる,vi,to bark; to howl,"
"
否定,ひてい,"n,vs,adj-no",denial; repudiation,"
"
含む,ふくむ,vt,to contain; to include,"
"
吸収,きゅうしゅう,"n,vs",absorption,"
"
周囲,しゅうい,"n,adj-no",surroundings,"
"
呼吸,こきゅう,"n,vs",breathing; respiration,"
"
命,いのち,n,life; lifetime,"
"
命じる,めいじる,vt,to order; to command,"
"
命令,めいれい,"n,vs",order; command,"
"
咳,せき,n,cough,"
"
哀れ,あわれ,n,pity; sorrow,"
"
哲学,てつがく,n,philosophy,"
"
唯一,ゆいいつ,"adj-no,adv",sole; unique,"
"
商人,しょうにん,"n,adj-no",trader; merchant,"
"
商売,しょうばい,"n,vs",trade; commerce,"
"
問い,とい,n,question,"
"
喜び,よろこび,n,joy; delight,"
"
営業,えいぎょう,"n,vs",sales; selling,"
"
噂,うわさ,"n,vs,adj-no",rumour; gossip,"
"
器用,きよう,"adj-na,n",skilful; adroit,"
"
回す,まわす,vt,to turn; to rotate,"
"
回り,まわり,n,rotation,"
"
回復,かいふく,"n,vs",restoration; return,"
"
団体,だんたい,n,organization; association,"
"
困難,こんなん,"n,adj-na",difficulty; hardship,"
"
囲む,かこむ,vt,to encircle; to enclose,"
"
